estado,estado_nome,data_coleta,indicadores
MT,Mato Grosso,2025-11-08T17:55:50.537856,"{'INDICADORES AMBIENTAIS\nPM₂.₅\n6.75 μg/m³\nPM₁₀\n6.90 μg/m³\nSO₂\n0.16 μg/m³\nNO₂\n2.09 μg/m³\nO₃\n38.33 μg/m³\nCO\n0.21 ppm\nTemp.\n-\nPrec.\n-\nFocos\n-': 'INDICADORES AMBIENTAIS\nPM₂.₅\n6.75 μg/m³\nPM₁₀\n6.90 μg/m³\nSO₂\n0.16 μg/m³\nNO₂\n2.09 μg/m³\nO₃\n38.33 μg/m³\nCO\n0.21 ppm\nTemp.\n-\nPrec.\n-\nFocos\n-', 'PM₂.₅\n6.75 μg/m³\nPM₁₀\n6.90 μg/m³\nSO₂\n0.16 μg/m³\nNO₂\n2.09 μg/m³\nO₃\n38.33 μg/m³\nCO\n0.21 ppm\nTemp.\n-\nPrec.\n-\nFocos\n-': 'PM₂.₅\n6.75 μg/m³\nPM₁₀\n6.90 μg/m³\nSO₂\n0.16 μg/m³\nNO₂\n2.09 μg/m³\nO₃\n38.33 μg/m³\nCO\n0.21 ppm\nTemp.\n-\nPrec.\n-\nFocos\n-', 'PM₂.₅\n6.75 μg/m³': 'PM₂.₅\n6.75 μg/m³', 'PM₂.₅': 'PM₂.₅', 'PM₁₀\n6.90 μg/m³': 'PM₁₀\n6.90 μg/m³', 'PM₁₀': 'PM₁₀', 'CO\n0.21 ppm': 'CO\n0.21 ppm', 'CO': 'CO', 'Focos\n-': 'Focos\n-', 'Focos': 'Focos'}"
MS,Mato Grosso do Sul,2025-11-08T17:56:00.970393,"{'INDICADORES AMBIENTAIS\nPM₂.₅\n2.81 μg/m³\nPM₁₀\n2.85 μg/m³\nSO₂\n0.21 μg/m³\nNO₂\n2.62 μg/m³\nO₃\n62.87 μg/m³\nCO\n0.19 ppm\nTemp.\n-\nPrec.\n-\nFocos\n-': 'INDICADORES AMBIENTAIS\nPM₂.₅\n2.81 μg/m³\nPM₁₀\n2.85 μg/m³\nSO₂\n0.21 μg/m³\nNO₂\n2.62 μg/m³\nO₃\n62.87 μg/m³\nCO\n0.19 ppm\nTemp.\n-\nPrec.\n-\nFocos\n-', 'PM₂.₅\n2.81 μg/m³\nPM₁₀\n2.85 μg/m³\nSO₂\n0.21 μg/m³\nNO₂\n2.62 μg/m³\nO₃\n62.87 μg/m³\nCO\n0.19 ppm\nTemp.\n-\nPrec.\n-\nFocos\n-': 'PM₂.₅\n2.81 μg/m³\nPM₁₀\n2.85 μg/m³\nSO₂\n0.21 μg/m³\nNO₂\n2.62 μg/m³\nO₃\n62.87 μg/m³\nCO\n0.19 ppm\nTemp.\n-\nPrec.\n-\nFocos\n-', 'PM₂.₅\n2.81 μg/m³': 'PM₂.₅\n2.81 μg/m³', 'PM₂.₅': 'PM₂.₅', 'PM₁₀\n2.85 μg/m³': 'PM₁₀\n2.85 μg/m³', 'PM₁₀': 'PM₁₀', 'CO\n0.19 ppm': 'CO\n0.19 ppm', 'CO': 'CO', 'Focos\n-': 'Focos\n-', 'Focos': 'Focos'}"
MG,Minas Gerais,2025-11-08T17:56:10.313665,"{'INDICADORES AMBIENTAIS\nPM₂.₅\n8.84 μg/m³\nPM₁₀\n8.93 μg/m³\nSO₂\n0.93 μg/m³\nNO₂\n6.32 μg/m³\nO₃\n80.95 μg/m³\nCO\n0.21 ppm\nTemp.\n-\nPrec.\n-\nFocos\n-': 'INDICADORES AMBIENTAIS\nPM₂.₅\n8.84 μg/m³\nPM₁₀\n8.93 μg/m³\nSO₂\n0.93 μg/m³\nNO₂\n6.32 μg/m³\nO₃\n80.95 μg/m³\nCO\n0.21 ppm\nTemp.\n-\nPrec.\n-\nFocos\n-', 'PM₂.₅\n8.84 μg/m³\nPM₁₀\n8.93 μg/m³\nSO₂\n0.93 μg/m³\nNO₂\n6.32 μg/m³\nO₃\n80.95 μg/m³\nCO\n0.21 ppm\nTemp.\n-\nPrec.\n-\nFocos\n-': 'PM₂.₅\n8.84 μg/m³\nPM₁₀\n8.93 μg/m³\nSO₂\n0.93 μg/m³\nNO₂\n6.32 μg/m³\nO₃\n80.95 μg/m³\nCO\n0.21 ppm\nTemp.\n-\nPrec.\n-\nFocos\n-', 'PM₂.₅\n8.84 μg/m³': 'PM₂.₅\n8.84 μg/m³', 'PM₂.₅': 'PM₂.₅', 'PM₁₀\n8.93 μg/m³': 'PM₁₀\n8.93 μg/m³', 'PM₁₀': 'PM₁₀', 'CO\n0.21 ppm': 'CO\n0.21 ppm', 'CO': 'CO', 'Focos\n-': 'Focos\n-', 'Focos': 'Focos'}"
PA,Pará,2025-11-08T17:56:19.729075,"{'INDICADORES AMBIENTAIS\nPM₂.₅\n12.62 μg/m³\nPM₁₀\n13.76 μg/m³\nSO₂\n0.26 μg/m³\nNO₂\n1.45 μg/m³\nO₃\n35.93 μg/m³\nCO\n0.19 ppm\nTemp.\n-\nPrec.\n-\nFocos\n-': 'INDICADORES AMBIENTAIS\nPM₂.₅\n12.62 μg/m³\nPM₁₀\n13.76 μg/m³\nSO₂\n0.26 μg/m³\nNO₂\n1.45 μg/m³\nO₃\n35.93 μg/m³\nCO\n0.19 ppm\nTemp.\n-\nPrec.\n-\nFocos\n-', 'PM₂.₅\n12.62 μg/m³\nPM₁₀\n13.76 μg/m³\nSO₂\n0.26 μg/m³\nNO₂\n1.45 μg/m³\nO₃\n35.93 μg/m³\nCO\n0.19 ppm\nTemp.\n-\nPrec.\n-\nFocos\n-': 'PM₂.₅\n12.62 μg/m³\nPM₁₀\n13.76 μg/m³\nSO₂\n0.26 μg/m³\nNO₂\n1.45 μg/m³\nO₃\n35.93 μg/m³\nCO\n0.19 ppm\nTemp.\n-\nPrec.\n-\nFocos\n-', 'PM₂.₅\n12.62 μg/m³': 'PM₂.₅\n12.62 μg/m³', 'PM₂.₅': 'PM₂.₅', 'PM₁₀\n13.76 μg/m³': 'PM₁₀\n13.76 μg/m³', 'PM₁₀': 'PM₁₀', 'CO\n0.19 ppm': 'CO\n0.19 ppm', 'CO': 'CO', 'Focos\n-': 'Focos\n-', 'Focos': 'Focos'}"
PB,Paraíba,2025-11-08T17:56:28.775644,"{'INDICADORES AMBIENTAIS\nPM₂.₅\n5.33 μg/m³\nPM₁₀\n6.19 μg/m³\nSO₂\n0.75 μg/m³\nNO₂\n3.20 μg/m³\nO₃\n57.24 μg/m³\nCO\n0.14 ppm\nTemp.\n-\nPrec.\n-\nFocos\n-': 'INDICADORES AMBIENTAIS\nPM₂.₅\n5.33 μg/m³\nPM₁₀\n6.19 μg/m³\nSO₂\n0.75 μg/m³\nNO₂\n3.20 μg/m³\nO₃\n57.24 μg/m³\nCO\n0.14 ppm\nTemp.\n-\nPrec.\n-\nFocos\n-', 'PM₂.₅\n5.33 μg/m³\nPM₁₀\n6.19 μg/m³\nSO₂\n0.75 μg/m³\nNO₂\n3.20 μg/m³\nO₃\n57.24 μg/m³\nCO\n0.14 ppm\nTemp.\n-\nPrec.\n-\nFocos\n-': 'PM₂.₅\n5.33 μg/m³\nPM₁₀\n6.19 μg/m³\nSO₂\n0.75 μg/m³\nNO₂\n3.20 μg/m³\nO₃\n57.24 μg/m³\nCO\n0.14 ppm\nTemp.\n-\nPrec.\n-\nFocos\n-', 'PM₂.₅\n5.33 μg/m³': 'PM₂.₅\n5.33 μg/m³', 'PM₂.₅': 'PM₂.₅', 'PM₁₀\n6.19 μg/m³': 'PM₁₀\n6.19 μg/m³', 'PM₁₀': 'PM₁₀', 'CO\n0.14 ppm': 'CO\n0.14 ppm', 'CO': 'CO', 'Focos\n-': 'Focos\n-', 'Focos': 'Focos'}"
PR,Paraná,2025-11-08T17:56:38.678792,"{'INDICADORES AMBIENTAIS\nPM₂.₅\n6.20 μg/m³\nPM₁₀\n6.59 μg/m³\nSO₂\n0.83 μg/m³\nNO₂\n5.08 μg/m³\nO₃\n73.89 μg/m³\nCO\n0.21 ppm\nTemp.\n-\nPrec.\n-\nFocos\n-': 'INDICADORES AMBIENTAIS\nPM₂.₅\n6.20 μg/m³\nPM₁₀\n6.59 μg/m³\nSO₂\n0.83 μg/m³\nNO₂\n5.08 μg/m³\nO₃\n73.89 μg/m³\nCO\n0.21 ppm\nTemp.\n-\nPrec.\n-\nFocos\n-', 'PM₂.₅\n6.20 μg/m³\nPM₁₀\n6.59 μg/m³\nSO₂\n0.83 μg/m³\nNO₂\n5.08 μg/m³\nO₃\n73.89 μg/m³\nCO\n0.21 ppm\nTemp.\n-\nPrec.\n-\nFocos\n-': 'PM₂.₅\n6.20 μg/m³\nPM₁₀\n6.59 μg/m³\nSO₂\n0.83 μg/m³\nNO₂\n5.08 μg/m³\nO₃\n73.89 μg/m³\nCO\n0.21 ppm\nTemp.\n-\nPrec.\n-\nFocos\n-', 'PM₂.₅\n6.20 μg/m³': 'PM₂.₅\n6.20 μg/m³', 'PM₂.₅': 'PM₂.₅', 'PM₁₀\n6.59 μg/m³': 'PM₁₀\n6.59 μg/m³', 'PM₁₀': 'PM₁₀', 'CO\n0.21 ppm': 'CO\n0.21 ppm', 'CO': 'CO', 'Focos\n-': 'Focos\n-', 'Focos': 'Focos'}"
PE,Pernambuco,2025-11-08T17:56:48.741399,"{'INDICADORES AMBIENTAIS\nPM₂.₅\n7.68 μg/m³\nPM₁₀\n8.30 μg/m³\nSO₂\n0.85 μg/m³\nNO₂\n4.59 μg/m³\nO₃\n69.73 μg/m³\nCO\n0.18 ppm\nTemp.\n-\nPrec.\n-\nFocos\n-': 'INDICADORES AMBIENTAIS\nPM₂.₅\n7.68 μg/m³\nPM₁₀\n8.30 μg/m³\nSO₂\n0.85 μg/m³\nNO₂\n4.59 μg/m³\nO₃\n69.73 μg/m³\nCO\n0.18 ppm\nTemp.\n-\nPrec.\n-\nFocos\n-', 'PM₂.₅\n7.68 μg/m³\nPM₁₀\n8.30 μg/m³\nSO₂\n0.85 μg/m³\nNO₂\n4.59 μg/m³\nO₃\n69.73 μg/m³\nCO\n0.18 ppm\nTemp.\n-\nPrec.\n-\nFocos\n-': 'PM₂.₅\n7.68 μg/m³\nPM₁₀\n8.30 μg/m³\nSO₂\n0.85 μg/m³\nNO₂\n4.59 μg/m³\nO₃\n69.73 μg/m³\nCO\n0.18 ppm\nTemp.\n-\nPrec.\n-\nFocos\n-', 'PM₂.₅\n7.68 μg/m³': 'PM₂.₅\n7.68 μg/m³', 'PM₂.₅': 'PM₂.₅', 'PM₁₀\n8.30 μg/m³': 'PM₁₀\n8.30 μg/m³', 'PM₁₀': 'PM₁₀', 'CO\n0.18 ppm': 'CO\n0.18 ppm', 'CO': 'CO', 'Focos\n-': 'Focos\n-', 'Focos': 'Focos'}"
PI,Piauí,2025-11-08T17:56:59.039491,"{'INDICADORES AMBIENTAIS\nPM₂.₅\n16.41 μg/m³\nPM₁₀\n17.15 μg/m³\nSO₂\n0.57 μg/m³\nNO₂\n3.21 μg/m³\nO₃\n71.34 μg/m³\nCO\n0.25 ppm\nTemp.\n-\nPrec.\n-\nFocos\n-': 'INDICADORES AMBIENTAIS\nPM₂.₅\n16.41 μg/m³\nPM₁₀\n17.15 μg/m³\nSO₂\n0.57 μg/m³\nNO₂\n3.21 μg/m³\nO₃\n71.34 μg/m³\nCO\n0.25 ppm\nTemp.\n-\nPrec.\n-\nFocos\n-', 'PM₂.₅\n16.41 μg/m³\nPM₁₀\n17.15 μg/m³\nSO₂\n0.57 μg/m³\nNO₂\n3.21 μg/m³\nO₃\n71.34 μg/m³\nCO\n0.25 ppm\nTemp.\n-\nPrec.\n-\nFocos\n-': 'PM₂.₅\n16.41 μg/m³\nPM₁₀\n17.15 μg/m³\nSO₂\n0.57 μg/m³\nNO₂\n3.21 μg/m³\nO₃\n71.34 μg/m³\nCO\n0.25 ppm\nTemp.\n-\nPrec.\n-\nFocos\n-', 'PM₂.₅\n16.41 μg/m³': 'PM₂.₅\n16.41 μg/m³', 'PM₂.₅': 'PM₂.₅', 'PM₁₀\n17.15 μg/m³': 'PM₁₀\n17.15 μg/m³', 'PM₁₀': 'PM₁₀', 'CO\n0.25 ppm': 'CO\n0.25 ppm', 'CO': 'CO', 'Focos\n-': 'Focos\n-', 'Focos': 'Focos'}"
RJ,Rio de Janeiro,2025-11-08T17:57:08.563735,"{'INDICADORES AMBIENTAIS\nPM₂.₅\n10.59 μg/m³\nPM₁₀\n12.31 μg/m³\nSO₂\n2.31 μg/m³\nNO₂\n7.24 μg/m³\nO₃\n52.01 μg/m³\nCO\n0.14 ppm\nTemp.\n-\nPrec.\n-\nFocos\n-': 'INDICADORES AMBIENTAIS\nPM₂.₅\n10.59 μg/m³\nPM₁₀\n12.31 μg/m³\nSO₂\n2.31 μg/m³\nNO₂\n7.24 μg/m³\nO₃\n52.01 μg/m³\nCO\n0.14 ppm\nTemp.\n-\nPrec.\n-\nFocos\n-', 'PM₂.₅\n10.59 μg/m³\nPM₁₀\n12.31 μg/m³\nSO₂\n2.31 μg/m³\nNO₂\n7.24 μg/m³\nO₃\n52.01 μg/m³\nCO\n0.14 ppm\nTemp.\n-\nPrec.\n-\nFocos\n-': 'PM₂.₅\n10.59 μg/m³\nPM₁₀\n12.31 μg/m³\nSO₂\n2.31 μg/m³\nNO₂\n7.24 μg/m³\nO₃\n52.01 μg/m³\nCO\n0.14 ppm\nTemp.\n-\nPrec.\n-\nFocos\n-', 'PM₂.₅\n10.59 μg/m³': 'PM₂.₅\n10.59 μg/m³', 'PM₂.₅': 'PM₂.₅', 'PM₁₀\n12.31 μg/m³': 'PM₁₀\n12.31 μg/m³', 'PM₁₀': 'PM₁₀', 'CO\n0.14 ppm': 'CO\n0.14 ppm', 'CO': 'CO', 'Focos\n-': 'Focos\n-', 'Focos': 'Focos'}"
RN,Rio Grande do Norte,2025-11-08T17:57:18.649291,"{'INDICADORES AMBIENTAIS\nPM₂.₅\n4.95 μg/m³\nPM₁₀\n6.56 μg/m³\nSO₂\n0.48 μg/m³\nNO₂\n1.81 μg/m³\nO₃\n47.73 μg/m³\nCO\n0.11 ppm\nTemp.\n-\nPrec.\n-\nFocos\n-': 'INDICADORES AMBIENTAIS\nPM₂.₅\n4.95 μg/m³\nPM₁₀\n6.56 μg/m³\nSO₂\n0.48 μg/m³\nNO₂\n1.81 μg/m³\nO₃\n47.73 μg/m³\nCO\n0.11 ppm\nTemp.\n-\nPrec.\n-\nFocos\n-', 'PM₂.₅\n4.95 μg/m³\nPM₁₀\n6.56 μg/m³\nSO₂\n0.48 μg/m³\nNO₂\n1.81 μg/m³\nO₃\n47.73 μg/m³\nCO\n0.11 ppm\nTemp.\n-\nPrec.\n-\nFocos\n-': 'PM₂.₅\n4.95 μg/m³\nPM₁₀\n6.56 μg/m³\nSO₂\n0.48 μg/m³\nNO₂\n1.81 μg/m³\nO₃\n47.73 μg/m³\nCO\n0.11 ppm\nTemp.\n-\nPrec.\n-\nFocos\n-', 'PM₂.₅\n4.95 μg/m³': 'PM₂.₅\n4.95 μg/m³', 'PM₂.₅': 'PM₂.₅', 'PM₁₀\n6.56 μg/m³': 'PM₁₀\n6.56 μg/m³', 'PM₁₀': 'PM₁₀', 'CO\n0.11 ppm': 'CO\n0.11 ppm', 'CO': 'CO', 'Focos\n-': 'Focos\n-', 'Focos': 'Focos'}"
RS,Rio Grande do Sul,2025-11-08T17:57:28.922765,"{'INDICADORES AMBIENTAIS\nPM₂.₅\n3.96 μg/m³\nPM₁₀\n4.32 μg/m³\nSO₂\n0.54 μg/m³\nNO₂\n2.85 μg/m³\nO₃\n53.97 μg/m³\nCO\n0.12 ppm\nTemp.\n-\nPrec.\n-\nFocos\n-': 'INDICADORES AMBIENTAIS\nPM₂.₅\n3.96 μg/m³\nPM₁₀\n4.32 μg/m³\nSO₂\n0.54 μg/m³\nNO₂\n2.85 μg/m³\nO₃\n53.97 μg/m³\nCO\n0.12 ppm\nTemp.\n-\nPrec.\n-\nFocos\n-', 'PM₂.₅\n3.96 μg/m³\nPM₁₀\n4.32 μg/m³\nSO₂\n0.54 μg/m³\nNO₂\n2.85 μg/m³\nO₃\n53.97 μg/m³\nCO\n0.12 ppm\nTemp.\n-\nPrec.\n-\nFocos\n-': 'PM₂.₅\n3.96 μg/m³\nPM₁₀\n4.32 μg/m³\nSO₂\n0.54 μg/m³\nNO₂\n2.85 μg/m³\nO₃\n53.97 μg/m³\nCO\n0.12 ppm\nTemp.\n-\nPrec.\n-\nFocos\n-', 'PM₂.₅\n3.96 μg/m³': 'PM₂.₅\n3.96 μg/m³', 'PM₂.₅': 'PM₂.₅', 'PM₁₀\n4.32 μg/m³': 'PM₁₀\n4.32 μg/m³', 'PM₁₀': 'PM₁₀', 'CO\n0.12 ppm': 'CO\n0.12 ppm', 'CO': 'CO', 'Focos\n-': 'Focos\n-', 'Focos': 'Focos'}"
RO,Rondônia,2025-11-08T17:57:38.051414,"{'INDICADORES AMBIENTAIS\nPM₂.₅\n6.16 μg/m³\nPM₁₀\n6.32 μg/m³\nSO₂\n0.11 μg/m³\nNO₂\n1.03 μg/m³\nO₃\n26.73 μg/m³\nCO\n0.18 ppm\nTemp.\n-\nPrec.\n-\nFocos\n-': 'INDICADORES AMBIENTAIS\nPM₂.₅\n6.16 μg/m³\nPM₁₀\n6.32 μg/m³\nSO₂\n0.11 μg/m³\nNO₂\n1.03 μg/m³\nO₃\n26.73 μg/m³\nCO\n0.18 ppm\nTemp.\n-\nPrec.\n-\nFocos\n-', 'PM₂.₅\n6.16 μg/m³\nPM₁₀\n6.32 μg/m³\nSO₂\n0.11 μg/m³\nNO₂\n1.03 μg/m³\nO₃\n26.73 μg/m³\nCO\n0.18 ppm\nTemp.\n-\nPrec.\n-\nFocos\n-': 'PM₂.₅\n6.16 μg/m³\nPM₁₀\n6.32 μg/m³\nSO₂\n0.11 μg/m³\nNO₂\n1.03 μg/m³\nO₃\n26.73 μg/m³\nCO\n0.18 ppm\nTemp.\n-\nPrec.\n-\nFocos\n-', 'PM₂.₅\n6.16 μg/m³': 'PM₂.₅\n6.16 μg/m³', 'PM₂.₅': 'PM₂.₅', 'PM₁₀\n6.32 μg/m³': 'PM₁₀\n6.32 μg/m³', 'PM₁₀': 'PM₁₀', 'CO\n0.18 ppm': 'CO\n0.18 ppm', 'CO': 'CO', 'Focos\n-': 'Focos\n-', 'Focos': 'Focos'}"
RR,Roraima,2025-11-08T17:57:48.182482,"{'INDICADORES AMBIENTAIS\nPM₂.₅\n8.72 μg/m³\nPM₁₀\n9.18 μg/m³\nSO₂\n0.06 μg/m³\nNO₂\n1.48 μg/m³\nO₃\n21.31 μg/m³\nCO\n0.15 ppm\nTemp.\n-\nPrec.\n-\nFocos\n-': 'INDICADORES AMBIENTAIS\nPM₂.₅\n8.72 μg/m³\nPM₁₀\n9.18 μg/m³\nSO₂\n0.06 μg/m³\nNO₂\n1.48 μg/m³\nO₃\n21.31 μg/m³\nCO\n0.15 ppm\nTemp.\n-\nPrec.\n-\nFocos\n-', 'PM₂.₅\n8.72 μg/m³\nPM₁₀\n9.18 μg/m³\nSO₂\n0.06 μg/m³\nNO₂\n1.48 μg/m³\nO₃\n21.31 μg/m³\nCO\n0.15 ppm\nTemp.\n-\nPrec.\n-\nFocos\n-': 'PM₂.₅\n8.72 μg/m³\nPM₁₀\n9.18 μg/m³\nSO₂\n0.06 μg/m³\nNO₂\n1.48 μg/m³\nO₃\n21.31 μg/m³\nCO\n0.15 ppm\nTemp.\n-\nPrec.\n-\nFocos\n-', 'PM₂.₅\n8.72 μg/m³': 'PM₂.₅\n8.72 μg/m³', 'PM₂.₅': 'PM₂.₅', 'PM₁₀\n9.18 μg/m³': 'PM₁₀\n9.18 μg/m³', 'PM₁₀': 'PM₁₀', 'CO\n0.15 ppm': 'CO\n0.15 ppm', 'CO': 'CO', 'Focos\n-': 'Focos\n-', 'Focos': 'Focos'}"
SC,Santa Catarina,2025-11-08T17:57:57.999851,"{'INDICADORES AMBIENTAIS\nPM₂.₅\n8.84 μg/m³\nPM₁₀\n8.93 μg/m³\nSO₂\n0.93 μg/m³\nNO₂\n6.32 μg/m³\nO₃\n80.95 μg/m³\nCO\n0.21 ppm\nTemp.\n-\nPrec.\n-\nFocos\n-': 'INDICADORES AMBIENTAIS\nPM₂.₅\n8.84 μg/m³\nPM₁₀\n8.93 μg/m³\nSO₂\n0.93 μg/m³\nNO₂\n6.32 μg/m³\nO₃\n80.95 μg/m³\nCO\n0.21 ppm\nTemp.\n-\nPrec.\n-\nFocos\n-', 'PM₂.₅\n8.84 μg/m³\nPM₁₀\n8.93 μg/m³\nSO₂\n0.93 μg/m³\nNO₂\n6.32 μg/m³\nO₃\n80.95 μg/m³\nCO\n0.21 ppm\nTemp.\n-\nPrec.\n-\nFocos\n-': 'PM₂.₅\n8.84 μg/m³\nPM₁₀\n8.93 μg/m³\nSO₂\n0.93 μg/m³\nNO₂\n6.32 μg/m³\nO₃\n80.95 μg/m³\nCO\n0.21 ppm\nTemp.\n-\nPrec.\n-\nFocos\n-', 'PM₂.₅\n8.84 μg/m³': 'PM₂.₅\n8.84 μg/m³', 'PM₂.₅': 'PM₂.₅', 'PM₁₀\n8.93 μg/m³': 'PM₁₀\n8.93 μg/m³', 'PM₁₀': 'PM₁₀', 'CO\n0.21 ppm': 'CO\n0.21 ppm', 'CO': 'CO', 'Focos\n-': 'Focos\n-', 'Focos': 'Focos'}"
SP,São Paulo,2025-11-08T17:58:15.127469,"{'INDICADORES AMBIENTAIS\nPM₂.₅\n23.01 μg/m³\nPM₁₀\n23.87 μg/m³\nSO₂\n2.49 μg/m³\nNO₂\n21.30 μg/m³\nO₃\n62.66 μg/m³\nCO\n0.41 ppm\nTemp.\n-\nPrec.\n-\nFocos\n-': 'INDICADORES AMBIENTAIS\nPM₂.₅\n23.01 μg/m³\nPM₁₀\n23.87 μg/m³\nSO₂\n2.49 μg/m³\nNO₂\n21.30 μg/m³\nO₃\n62.66 μg/m³\nCO\n0.41 ppm\nTemp.\n-\nPrec.\n-\nFocos\n-', 'PM₂.₅\n23.01 μg/m³\nPM₁₀\n23.87 μg/m³\nSO₂\n2.49 μg/m³\nNO₂\n21.30 μg/m³\nO₃\n62.66 μg/m³\nCO\n0.41 ppm\nTemp.\n-\nPrec.\n-\nFocos\n-': 'PM₂.₅\n23.01 μg/m³\nPM₁₀\n23.87 μg/m³\nSO₂\n2.49 μg/m³\nNO₂\n21.30 μg/m³\nO₃\n62.66 μg/m³\nCO\n0.41 ppm\nTemp.\n-\nPrec.\n-\nFocos\n-', 'PM₂.₅\n23.01 μg/m³': 'PM₂.₅\n23.01 μg/m³', 'PM₂.₅': 'PM₂.₅', 'PM₁₀\n23.87 μg/m³': 'PM₁₀\n23.87 μg/m³', 'PM₁₀': 'PM₁₀', 'CO\n0.41 ppm': 'CO\n0.41 ppm', 'CO': 'CO', 'Focos\n-': 'Focos\n-', 'Focos': 'Focos'}"
SE,Sergipe,2025-11-08T17:58:24.448993,"{'INDICADORES AMBIENTAIS\nPM₂.₅\n5.91 μg/m³\nPM₁₀\n7.71 μg/m³\nSO₂\n1.00 μg/m³\nNO₂\n3.32 μg/m³\nO₃\n50.38 μg/m³\nCO\n0.11 ppm\nTemp.\n-\nPrec.\n-\nFocos\n-': 'INDICADORES AMBIENTAIS\nPM₂.₅\n5.91 μg/m³\nPM₁₀\n7.71 μg/m³\nSO₂\n1.00 μg/m³\nNO₂\n3.32 μg/m³\nO₃\n50.38 μg/m³\nCO\n0.11 ppm\nTemp.\n-\nPrec.\n-\nFocos\n-', 'PM₂.₅\n5.91 μg/m³\nPM₁₀\n7.71 μg/m³\nSO₂\n1.00 μg/m³\nNO₂\n3.32 μg/m³\nO₃\n50.38 μg/m³\nCO\n0.11 ppm\nTemp.\n-\nPrec.\n-\nFocos\n-': 'PM₂.₅\n5.91 μg/m³\nPM₁₀\n7.71 μg/m³\nSO₂\n1.00 μg/m³\nNO₂\n3.32 μg/m³\nO₃\n50.38 μg/m³\nCO\n0.11 ppm\nTemp.\n-\nPrec.\n-\nFocos\n-', 'PM₂.₅\n5.91 μg/m³': 'PM₂.₅\n5.91 μg/m³', 'PM₂.₅': 'PM₂.₅', 'PM₁₀\n7.71 μg/m³': 'PM₁₀\n7.71 μg/m³', 'PM₁₀': 'PM₁₀', 'CO\n0.11 ppm': 'CO\n0.11 ppm', 'CO': 'CO', 'Focos\n-': 'Focos\n-', 'Focos': 'Focos'}"
TO,Tocantins,2025-11-08T17:58:40.029076,"{'INDICADORES AMBIENTAIS\nPM₂.₅\n8.84 μg/m³\nPM₁₀\n8.93 μg/m³\nSO₂\n0.93 μg/m³\nNO₂\n6.32 μg/m³\nO₃\n80.95 μg/m³\nCO\n0.21 ppm\nTemp.\n-\nPrec.\n-\nFocos\n-': 'INDICADORES AMBIENTAIS\nPM₂.₅\n8.84 μg/m³\nPM₁₀\n8.93 μg/m³\nSO₂\n0.93 μg/m³\nNO₂\n6.32 μg/m³\nO₃\n80.95 μg/m³\nCO\n0.21 ppm\nTemp.\n-\nPrec.\n-\nFocos\n-', 'PM₂.₅\n8.84 μg/m³\nPM₁₀\n8.93 μg/m³\nSO₂\n0.93 μg/m³\nNO₂\n6.32 μg/m³\nO₃\n80.95 μg/m³\nCO\n0.21 ppm\nTemp.\n-\nPrec.\n-\nFocos\n-': 'PM₂.₅\n8.84 μg/m³\nPM₁₀\n8.93 μg/m³\nSO₂\n0.93 μg/m³\nNO₂\n6.32 μg/m³\nO₃\n80.95 μg/m³\nCO\n0.21 ppm\nTemp.\n-\nPrec.\n-\nFocos\n-', 'PM₂.₅\n8.84 μg/m³': 'PM₂.₅\n8.84 μg/m³', 'PM₂.₅': 'PM₂.₅', 'PM₁₀\n8.93 μg/m³': 'PM₁₀\n8.93 μg/m³', 'PM₁₀': 'PM₁₀', 'CO\n0.21 ppm': 'CO\n0.21 ppm', 'CO': 'CO', 'Focos\n-': 'Focos\n-', 'Focos': 'Focos'}"
